ID NODO | ID WAY | Nombre | latitud | longitud 
1132376865 | 26125916 | Avenida Bartolomé Mitre | -32.8737782 | -68.8402683
1132376818 | 26125916 | Avenida Bartolomé Mitre | -32.8738626 | -68.8402691
1132376555 | 26125916 | Avenida Bartolomé Mitre | -32.8739315 | -68.8402785
1132376277 | 26125916 | Avenida Bartolomé Mitre | -32.8750901 | -68.8406273
286045221 | 26127937 | Sarmiento | -32.8906524 | -68.8394351
2460598059 | 26127937 | Sarmiento | -32.8904323 | -68.8406743
287040731 | 26127937 | Sarmiento | -32.8904237 | -68.8407142
287040732 | 26127937 | Sarmiento | -32.8902016 | -68.841954
287040733 | 26127937 | Sarmiento | -32.8899784 | -68.8432054
1130929730 | 26127939 | Avenida 9 de julio | -32.8622213 | -68.8334149
1132376522 | 26127939 | Avenida 9 de julio | -32.8636468 | -68.8337743
1132376867 | 26127939 | Avenida 9 de julio | -32.8647702 | -68.8340624
1132376495 | 26127939 | Avenida 9 de julio | -32.8658106 | -68.8343351
1130929593 | 26127939 | Avenida 9 de julio | -32.866412 | -68.834491
1132376240 | 26127939 | Avenida 9 de julio | -32.8668638 | -68.8346081
1130929600 | 26127939 | Avenida 9 de julio | -32.8680712 | -68.8349211
1132376283 | 26127939 | Avenida 9 de julio | -32.8690039 | -68.8351629
1132376459 | 26127939 | Avenida 9 de julio | -32.869774 | -68.8353623
583617107 | 26127939 | Avenida 9 de julio | -32.8704888 | -68.835548
1132376827 | 26127939 | Avenida 9 de julio | -32.8715881 | -68.8358327
1132376708 | 26127939 | Avenida 9 de julio | -32.8728105 | -68.8361494
1132376258 | 26127939 | Avenida 9 de julio | -32.8734771 | -68.8363224
1132376593 | 26127939 | Avenida 9 de julio | -32.8762131 | -68.8369874
1085752628 | 26127960 | Avenida España | -32.8991938 | -68.8440087
1085969459 | 26127960 | Avenida España | -32.8991118 | -68.8440424
1805187395 | 26127960 | Avenida España | -32.8990045 | -68.8440207
1934081727 | 26127960 | Avenida España | -32.8987144 | -68.8439492
623931827 | 26127960 | Avenida España | -32.8982517 | -68.8438353
437558123 | 26127990 | Gutiérrez | -32.8866518 | -68.8490572
3689552766 | 26127990 | Gutiérrez | -32.8868334 | -68.8480341
307882216 | 26127990 | Gutiérrez | -32.8868776 | -68.8477863
676748186 | 26128014 | Necochea | -32.8874314 | -68.8386007
676748187 | 26128014 | Necochea | -32.8872101 | -68.8398756
1091465820 | 26128083 | Catamarca | -32.8901867 | -68.8303277
1732499008 | 26128083 | Catamarca | -32.8901911 | -68.8305715
1091465815 | 26128083 | Catamarca | -32.8901485 | -68.8315585
437560061 | 26128691 | 25 de Mayo | -32.8773975 | -68.8439677
437560064 | 26128691 | 25 de Mayo | -32.8783068 | -68.8441702
437560054 | 26128691 | 25 de Mayo | -32.8793095 | -68.8444347
480890272 | 26128691 | 25 de Mayo | -32.8803886 | -68.8447175
286068443 | 26130151 | La Pampa | -32.8962317 | -68.8469377
3740154163 | 26130151 | La Pampa | -32.8962587 | -68.8470343
3740154162 | 26130151 | La Pampa | -32.896288 | -68.847096
3740154161 | 26130151 | La Pampa | -32.8963217 | -68.847163
3740154164 | 26130151 | La Pampa | -32.8963623 | -68.8472301
1086014028 | 26130151 | La Pampa | -32.8963983 | -68.847281
623492242 | 26213967 | Julio Argentino Roca | -32.887728 | -68.8614319
287060788 | 26213967 | Julio Argentino Roca | -32.8881908 | -68.85894
480890085 | 26213967 | Julio Argentino Roca | -32.8885027 | -68.8573531
480890119 | 26213967 | Julio Argentino Roca | -32.8887991 | -68.8557926
480890151 | 26213967 | Julio Argentino Roca | -32.8891058 | -68.8541067
1184301735 | 26213967 | Julio Argentino Roca | -32.889351 | -68.8528867
623948377 | 26213967 | Julio Argentino Roca | -32.8896549 | -68.8512868
287042857 | 26213968 | Avenida Bartolomé Mitre | -32.8908402 | -68.8448797
287048132 | 26213968 | Avenida Bartolomé Mitre | -32.8918554 | -68.8451653
676748107 | 26214067 | Avenida Colón | -32.8950403 | -68.8405793
287055464 | 26214067 | Avenida Colón | -32.8947662 | -68.8418402
1091605087 | 26214388 | Leandro Alem | -32.8929941 | -68.8372586
1091605024 | 26214388 | Leandro Alem | -32.8930189 | -68.8381563
676748122 | 26215120 | Rufino Ortega | -32.8899411 | -68.8618743
1089228667 | 26215120 | Rufino Ortega | -32.8902432 | -68.8602378
287060785 | 26215120 | Rufino Ortega | -32.8904986 | -68.8589344
287055435 | 26215121 | Perú | -32.8960905 | -68.8501498
1999074971 | 26215121 | Perú | -32.8946897 | -68.8497849
676748101 | 26215121 | Perú | -32.8933267 | -68.849456
2582553119 | 26215121 | Perú | -32.8930637 | -68.8493991
287055445 | 26215121 | Perú | -32.8922085 | -68.8491787
287057996 | 26215353 | Avenida Godoy Cruz | -32.8841241 | -68.837739
4894472528 | 26215353 | Avenida Godoy Cruz | -32.8840522 | -68.8381372
4894472532 | 26215353 | Avenida Godoy Cruz | -32.8840248 | -68.8382889
4894472530 | 26215353 | Avenida Godoy Cruz | -32.883943 | -68.8387421
1840278949 | 26215353 | Avenida Godoy Cruz | -32.8838932 | -68.8390182
287058036 | 26215354 | General Paz | -32.8836386 | -68.8469002
287058041 | 26215354 | General Paz | -32.883871 | -68.8456385
287058046 | 26215354 | General Paz | -32.8841046 | -68.8443711
2444371072 | 26215672 | Aconcagua | -32.9227365 | -68.842878
1110693463 | 26215672 | Aconcagua | -32.9223063 | -68.8453875
1110693502 | 26215672 | Aconcagua | -32.9221116 | -68.8465233
1970455150 | 26215672 | Aconcagua | -32.9220735 | -68.8467402
1102523503 | 26215673 | Lencinas | -32.883664 | -68.8616783
1941520042 | 26215673 | Lencinas | -32.8834868 | -68.8626481
1102523367 | 26215673 | Lencinas | -32.8828338 | -68.8662213
304370997 | 27717271 | Sin Nombre | -32.8936395 | -68.8306648
3733043454 | 27717271 | Sin Nombre | -32.8937757 | -68.8306312
304371041 | 27717271 | Sin Nombre | -32.8939295 | -68.8305937
1420271173 | 27717271 | Sin Nombre | -32.8940005 | -68.8304984
